_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE?,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM?,IS_THERE_EMERGENCY_POWER?,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NON-SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
3453,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,1.0,1.0,4,41,YES,Surface Parking,NO,TCH,TCHC,4286261,NO,NO,NO,2755  YONGE ST ,YES,PAID,15,SINGLE PANE,1990.0,2017.0
3454,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,27,YES,,YES,AKELIUS CANADA LTD,PRIVATE,4245702,YES,YES,NO,28  BALMORAL AVE ,NO,UNAVAILABLE,12,DOUBLE PANE,1930.0,2017.0
3455,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,0.0,3,11,NO,"Ground Level Garage , Surface Parking",YES,KG GROUP,PRIVATE,4261717,NO,YES,NO,10  OAKBURN CRES ,NO,FREE,18,DOUBLE PANE,1945.0,2017.0
3456,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,NO,0.0,0.0,0.0,3,41,NO,Surface Parking,NO,,PRIVATE,4252925,NO,YES,NO,90  TWENTY FIFTH ST ,NO,UNAVAILABLE,03,DOUBLE PANE,1970.0,2017.0
3457,NONE,"Outdoor pool , Child play area",YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,3.0,1.0,5,71,NO,Surface Parking,YES,BROSKO PROPERTY MANAGEMENT ,PRIVATE,4264301,NO,YES,NO,60  NORTH HILLS TER ,YES,FREE,16,DOUBLE PANE,1961.0,2017.0
3458,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,,0.0,0.0,4,42,YES,Surface Parking,YES,IMPRESSIONS GROUP,PRIVATE,4250554,NO,NO,NO,409  HURON ST ,NO,PAID,11,DOUBLE PANE,1898.0,2018.0
3459,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,,0.0,3,29,YES,Surface Parking,YES,,PRIVATE,4290959,NO,YES,NO,25  ELIZABETH ST ,YES,UNAVAILABLE,03,DOUBLE PANE,1962.0,2018.0
3460,NONE,,NO,NO,10 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,29,NO,Surface Parking,YES,COGIR REAL ESTATE,PRIVATE,4229124,NO,YES,NO,12  RUSHOLME DR ,YES,UNAVAILABLE,09,SINGLE PANE,1955.0,2017.0
3461,NONE,,YES,YES,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,2.0,8,77,NO,"Underground Garage , Garage accessible thru buildg",YES,HOLLYBURN PROPERTIES LTD,PRIVATE,4264913,NO,YES,NO,1286  ISLINGTON AVE ,YES,PAID,03,DOUBLE PANE,1971.0,2017.0
3462,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,,0.0,0.0,3,12,YES,Surface Parking,YES,OLIVE CORP.,PRIVATE,4255508,NO,YES,NO,55  LEE AVE ,YES,FREE,19,DOUBLE PANE,1955.0,2018.0
3463,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,13,NO,"Carport , Surface Parking",YES,,PRIVATE,4281915,NO,YES,NO,6  BEXHILL CRT ,NO,PAID,02,DOUBLE PANE,1952.0,2017.0
3464,CENTRAL AIR,"Indoor exercise room , Child play area",YES,YES,0 indoor parking spots and 6 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,NO,0.0,2.0,3.0,22,236,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,MINTO PROPERTIES INC.,PRIVATE,4219140,NO,YES,NO,620  MARTIN GROVE RD ,YES,FREE,02,DOUBLE PANE,2011.0,2017.0
3465,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,17.0,1.0,3,40,NO,"Ground Level Garage , Surface Parking",YES,1846022 ONTARIO LIMITED,PRIVATE,4281257,NO,YES,NO,1395  SHEPPARD AVE W,YES,FREE,06,DOUBLE PANE,1960.0,2017.0
3466,CENTRAL AIR,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room",YES,YES,122 indoor parking spots and 27 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,NO,YES,48.0,2.0,2.0,14,179,NO,"Underground Garage , Garage accessible thru buildg",YES,SHIPLAKE PROPERTIES LTD.,PRIVATE,4244917,NO,YES,YES,99  DAVISVILLE AVE ,YES,FREE,12,THERMAL,2017.0,2017.0
3467,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,3.0,17,234,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,CANADIAN APARTMENTS CORP.,PRIVATE,4243431,NO,YES,NO,2801  JANE ST ,YES,FREE,07,DOUBLE PANE,1968.0,2017.0
3468,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,30,,,,,PRIVATE,4288751,,,,1383  BATHURST ST ,,,12,DOUBLE PANE,1918.0,
3469,NONE,"Indoor recreation room , Indoor exercise room",YES,YES,0 indoor parking spots and 15 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,1.0,2.0,22,159,NO,Surface Parking,YES,,SOCIAL HOUSING,4288768,NO,NO,NO,444  LOGAN AVE ,YES,FREE,14,DOUBLE PANE,1967.0,2017.0
3470,NONE,,YES,NO,0 indoor parking spots and 9 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,27,NO,Surface Parking,YES,WESTWOOD HOLDINGS INC.,PRIVATE,4288796,NO,YES,NO,2327  QUEEN ST E,NO,FREE,19,DOUBLE PANE,1920.0,2017.0
3471,NONE,,NO,NO,0 indoor parking spots and 9 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,18,NO,Surface Parking,YES,WESTWOOD HOLDINGS INC.,PRIVATE,4288800,NO,YES,NO,82  WILLOW AVE ,NO,UNAVAILABLE,19,SINGLE PANE,1920.0,2017.0
3472,CENTRAL AIR,Indoor recreation room,NO,YES,0 indoor parking spots and 48 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,NO,10.0,3.0,2.0,8,200,YES,"Underground Garage , Garage accessible thru buildg",YES,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,4168942,NO,YES,NO,345  DUFFERIN ST ,YES,FREE,10,DOUBLE PANE,1984.0,2017.0
3473,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,NO,3.0,1.0,2.0,11,104,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,4168988,NO,NO,NO,20  HUMBERLINE DR ,YES,FREE,01,DOUBLE PANE,1986.0,2017.0
3474,INDIVIDUAL UNITS,,NO,YES,Not Available,NO,Unknown,YES,NO,HOT WATER,NO,YES,NO,YES,YES,3.0,1.0,1.0,4,40,NO,"Carport , Surface Parking",NO,,SOCIAL HOUSING,4169166,NO,NO,NO,1674  EGLINTON AVE W,YES,FREE,08,DOUBLE PANE,1960.0,2017.0
3475,INDIVIDUAL UNITS,"Indoor recreation room , Indoor exercise room",NO,YES,40 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,ELECTRIC,YES,YES,YES,YES,YES,0.0,9.0,3.0,19,289,NO,"Surface Parking , Parking Deck",YES,,PRIVATE,4166900,NO,YES,NO,390  QUEENS QUAY  W,YES,BOTH,10,DOUBLE PANE,1987.0,2017.0
3476,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,YES,NO,11.0,11.0,0.0,3,11,NO,"Carport , Surface Parking",YES,,PRIVATE,4167696,NO,YES,NO,2248  KEELE ST ,NO,FREE,05,DOUBLE PANE,1955.0,2017.0
3477,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,1.0,0.0,6,72,YES,Surface Parking,NO,TCH,TCHC,4167697,NO,NO,NO,365  PARLIAMENT ST ,YES,FREE,13,SINGLE PANE,1980.0,2017.0
3478,INDIVIDUAL UNITS,,YES,YES,70 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,5.0,3.0,18,244,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4167700,NO,YES,NO,55  MAITLAND PL ,NO,BOTH,13,DOUBLE PANE,1963.0,2017.0
3479,NONE,,YES,NO,0 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,,,1.0,6,79,YES,"Ground Level Garage , Surface Parking",,GLOBAL PROPERTIES LTD,PRIVATE,4152691,NO,NO,NO,711  KENNEDY RD ,NO,UNAVAILABLE,20,SINGLE PANE,1958.0,2018.0
3480,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,NO,YES,NO,0.0,18.0,2.0,7,72,NO,"Underground Garage , Ground Level Garage , Surface Parking",YES,,PRIVATE,4152693,NO,NO,NO,15  ROSEMOUNT DR ,YES,FREE,21,SINGLE PANE,1969.0,2017.0
3481,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,1.0,6,70,NO,Surface Parking,YES,COGIR REAL ESTATE,PRIVATE,4152702,NO,YES,NO,1255  BIRCHMOUNT RD ,YES,FREE,21,DOUBLE PANE,1960.0,2017.0
3482,NONE,,YES,NO,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,4,29,NO,"Ground Level Garage , Surface Parking",YES,ACCADIA APARTMENTS,PRIVATE,4152713,NO,NO,NO,879  KENNEDY RD ,YES,FREE,21,DOUBLE PANE,1960.0,2017.0
3483,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,NO,1.0,24.0,0.0,3,21,NO,Surface Parking,YES,,PRIVATE,4152719,NO,NO,NO,1477  BIRCHMOUNT RD ,YES,FREE,21,DOUBLE PANE,1960.0,2017.0
3484,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,1.0,0.0,4,52,NO,Surface Parking,YES,,PRIVATE,4152722,NO,YES,NO,1525  BIRCHMOUNT RD ,YES,FREE,21,DOUBLE PANE,1956.0,2017.0
3485,NONE,,YES,YES,0 indoor parking spots and 5 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,1.0,2.0,12,167,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,H&R PROPERTY MANAGEMENT,PRIVATE,4152726,NO,YES,NO,11  ANTRIM CRES ,YES,FREE,21,DOUBLE PANE,1971.0,2017.0
3486,INDIVIDUAL UNITS,Outdoor rec facilities,NO,NO,0 indoor parking spots and 20 outdoor parking spots,YES,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,9.0,0.0,3,16,YES,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4153147,NO,YES,NO,255  DOVERCOURT RD ,YES,FREE,10,DOUBLE PANE,1912.0,2017.0
3487,INDIVIDUAL UNITS,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",NO,YES,23 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,0.0,0.0,4,54,NO,Underground Garage,YES,,PRIVATE,4153605,NO,YES,NO,9  TENNIS CRES ,YES,UNAVAILABLE,14,DOUBLE PANE,1931.0,2017.0
3488,CENTRAL AIR,Indoor recreation room,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,14,NO,,YES,MAINSTAY HOUSING,SOCIAL HOUSING,4153620,NO,NO,NO,970  EASTERN AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1989.0,2017.0
3489,,,,YES,Not Available,,Green Bin / Organics,,NO,,,,,YES,YES,1.0,0.0,,3,16,NO,Surface Parking,YES,,SOCIAL HOUSING,4153624,,,,802  EASTERN AVE ,,UNAVAILABLE,14,DOUBLE PANE,1995.0,
3490,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,2.0,1.0,6,49,NO,"Ground Level Garage , Surface Parking",NO,660266 ONTARIO LTD,PRIVATE,4154123,NO,NO,NO,51  GAMBLE AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1960.0,2017.0
3491,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,48.0,40.0,1.0,6,48,NO,"Ground Level Garage , Surface Parking",YES,TRIPAR MANAGEMENT,PRIVATE,4154124,NO,YES,NO,65  GAMBLE AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1955.0,2017.0
3492,NONE,,YES,NO,0 indoor parking spots and 3 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,2.0,6,94,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Carport , Surface Parking",YES,BRIKHAUS MANAGEMENT INC,PRIVATE,4154127,NO,YES,NO,95  GAMBLE AVE ,NO,UNAVAILABLE,14,DOUBLE PANE,1961.0,2017.0
3493,NONE,,YES,YES,0 indoor parking spots and 18 outdoor parking spots,NO,Recycling bins,YES,YES,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,2.0,12,134,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,MARBROOK DEVELOPMENTS LTD. ,PRIVATE,4154132,NO,NO,NO,1175  BROADVIEW AVE ,YES,FREE,14,DOUBLE PANE,1970.0,2017.0
3494,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,38,,,,,PRIVATE,4154137,,,,1243  BROADVIEW AVE ,,,14,DOUBLE PANE,1955.0,
3495,NONE,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area , Sauna",YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,NO,0.0,2.0,3.0,16,246,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,OXFORD PROPERTIES GROUP,PRIVATE,4154625,NO,YES,NO,120  TORRESDALE AVE ,YES,FREE,06,DOUBLE PANE,1978.0,2017.0
3496,NONE,,YES,YES,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,2.0,1.0,3.0,18,221,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DMS PROPERTY MANGEMENT,PRIVATE,4154629,NO,YES,NO,25  FISHERVILLE RD ,YES,FREE,06,DOUBLE PANE,1970.0,2017.0
3497,NONE,"Indoor pool , Sauna",YES,NO,0 indoor parking spots and 20 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,1.0,3.0,17,202,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,PINEDALE PROPERTIES LTD,PRIVATE,4154630,NO,YES,NO,5  FISHERVILLE RD ,YES,FREE,06,DOUBLE PANE,1970.0,2017.0
3498,NONE,,YES,YES,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,10.0,1.0,5,60,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",NO,FIRM CAPITAL PROPERTIES INC,PRIVATE,4154654,NO,YES,NO,2895  BATHURST ST ,YES,FREE,08,SINGLE PANE,1960.0,2017.0
3499,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,45.0,1.0,6,47,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,LLOYD ZERKER REALTY LIMITED,PRIVATE,4154657,NO,YES,NO,3171  BATHURST ST ,NO,FREE,08,DOUBLE PANE,1970.0,2017.0
3500,NONE,,NO,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,20,NO,"Ground Level Garage , Surface Parking",YES,MANTLER MANAGEMENT LTD.,PRIVATE,4155009,NO,YES,NO,22  ROBINA AVE ,NO,UNAVAILABLE,09,DOUBLE PANE,1950.0,2017.0
3501,NONE,,YES,NO,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0.0,30.0,1.0,5,55,NO,Surface Parking,YES,CANLIGHT MANAGEMENT INC.,PRIVATE,4155010,NO,NO,NO,460  WINONA DR ,NO,UNAVAILABLE,12,DOUBLE PANE,1958.0,2017.0
3502,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,18.0,0.0,4,35,NO,Surface Parking,YES,GREENWIN INC.,PRIVATE,4155021,NO,YES,NO,300  WINNETT AVE ,YES,UNAVAILABLE,12,DOUBLE PANE,1971.0,2017.0
3503,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,19,YES,Surface Parking,NO,,PRIVATE,4155023,NO,NO,NO,1 A  BANSLEY AVE ,NO,UNAVAILABLE,12,DOUBLE PANE,1954.0,2017.0
3504,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,3.0,0.0,4,38,YES,Surface Parking,YES,KINGS COLLEGE SERVICES LIMITED,PRIVATE,4155029,NO,YES,NO,787  VAUGHAN RD ,YES,UNAVAILABLE,12,DOUBLE PANE,1977.0,2017.0
3505,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,41,,,,,PRIVATE,4155031,,,,1801  EGLINTON AVE W,,,12,DOUBLE PANE,1960.0,
3506,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,14,NO,Surface Parking,YES,CZAPLA INVESTMENTS LTD.,PRIVATE,4155543,NO,YES,NO,15  BIRCHLEA AVE ,NO,UNAVAILABLE,03,DOUBLE PANE,1950.0,2017.0
3507,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,14,NO,Surface Parking,YES,CZAPLA INVESTMENTS LTD.,PRIVATE,4155544,NO,YES,NO,13  BIRCHLEA AVE ,NO,UNAVAILABLE,03,DOUBLE PANE,1950.0,2017.0
3508,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,4.0,0.0,3,10,NO,Surface Parking,YES,HD PROPERTY MANAGEMENT,PRIVATE,4155545,NO,YES,NO,1  BIRCHLEA AVE ,NO,UNAVAILABLE,03,DOUBLE PANE,1955.0,2017.0
3509,NONE,Outdoor pool,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,2.0,2.0,7,118,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,COMPTEN MANAGEMENT INC.,PRIVATE,4155549,NO,YES,NO,220  LAKE PROMENADE  ,YES,PAID,03,DOUBLE PANE,1963.0,2017.0
3510,NONE,Outdoor pool,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,2.0,2.0,7,118,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,COMPTEN MANAGEMENT INC.,PRIVATE,4155551,NO,YES,NO,240  LAKE PROMENADE  ,YES,PAID,03,DOUBLE PANE,1963.0,2017.0
3511,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2.0,4.0,2.0,9,97,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DEL MANAGEMENT,TCHC,4155565,NO,NO,NO,3485  ST CLAIR AVE E,YES,BOTH,20,SINGLE PANE,1968.0,2017.0
3512,NONE,Indoor recreation room,YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,4.0,2.0,13,128,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DEL MANAGEMENT,TCHC,4155570,NO,NO,NO,55  GREENBRAE CRCT ,YES,BOTH,24,SINGLE PANE,1970.0,2017.0
3513,NONE,,YES,YES,0 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,51.0,38.0,1.0,6,52,NO,Surface Parking,YES,GREENWIN INC.,PRIVATE,4156104,NO,YES,NO,75  WINDERMERE AVE ,YES,UNAVAILABLE,04,DOUBLE PANE,1962.0,2017.0
